planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
Kepler-580 b,Neptune-like,Kepler-580,1041,,7.13,Earth,8.22241966,Jupiter,0.229,1057.0,2016,1457
Kepler-982 b,Neptune-like,Kepler-982,863,,5.69,Earth,15.7738221,Jupiter,0.201,2614.0,2016,1458
Kepler-282 d,Super Earth,Kepler-282,1813,,0.192,Jupiter,24.806,Jupiter,0.219,4363.0,2013,1459
K2-127 b,Gas Giant,K2-127,3118,,0.167,Jupiter,3.588163,Jupiter,0.747,2316.0,2017,1460
Kepler-246 b,Neptune-like,Kepler-246,1933,,6.08,Earth,4.60182,Jupiter,0.209,2042.0,2014,1461
HD 196885 A b,Gas Giant,HD 196885 A,2794,F8 V,2.58,Jupiter,1333.0,Jupiter,1.18,111.0,2007,1462
KMT-2018-BLG-1988L b,Neptune-like,KMT-2018-BLG-1988L,3456,,5.56,Earth,,Earth,2.22,13537.0,2022,1463
HD 8673 b,Gas Giant,HD 8673,3071,F5,13.40117,Jupiter,1644.69097,Jupiter,1.1,124.0,2009,1464
Kepler-595 b,Neptune-like,Kepler-595,654,,17.4,Earth,25.3029092,Jupiter,0.331,2097.0,2016,1465
KELT-18 b,Gas Giant,KELT-18,2074,,1.18,Jupiter,2.8717518,Jupiter,1.57,1048.0,2017,1466
Kepler-597 b,Neptune-like,Kepler-597,2827,,6.21,Earth,13.02365861,Jupiter,0.211,2164.0,2016,1467
Kepler-172 e,Neptune-like,Kepler-172,2446,,8.05,Earth,35.118736,Jupiter,0.246,2703.0,2014,1468
Kepler-139 b,Neptune-like,Kepler-139,3589,,8.96,Earth,15.771044,Jupiter,0.262,1276.0,2014,1469
WASP-66 b,Gas Giant,WASP-66,3352,,2.35,Jupiter,4.08605,Jupiter,1.4,1632.0,2012,1470
TOI-1333 b,Gas Giant,TOI-1333,2606,,2.37,Jupiter,4.720219,Jupiter,1.396,654.0,2021,1471
HD 10647 b,Gas Giant,HD 10647,3641,F9 V,0.94,Jupiter,989.2,Jupiter,1.23,57.0,2006,1472
TOI-277 b,Neptune-like,TOI-277,757,,7.51,Earth,3.994,Jupiter,0.236,211.0,2022,1473
K2-381 b,Super Earth,K2-381,3216,,1.26,Earth,7.9389334,Earth,1.075,475.0,2022,1474
Kepler-301 d,Super Earth,Kepler-301,2266,,3.71,Earth,13.751243,Earth,1.75,2346.0,2014,1475
TOI-1246 e,Neptune-like,TOI-1246,1967,K V,14.8,Earth,37.92548,Jupiter,0.337,553.0,2022,1476
Kepler-1583 b,Terrestrial,Kepler-1583,834,,0.156,Earth,9.32807355,Earth,0.6,1318.0,2016,1477
HD 20794 c,Super Earth,HD 20794,2277,G8 V,2.4,Earth,40.114,Earth,1.35,20.0,2011,1478
HD 23472 b,Super Earth,HD 23472,2192,K4 V,8.32,Earth,17.667087,Earth,2.0,127.0,2019,1479
Kepler-299 d,Super Earth,Kepler-299,3508,,4.12,Earth,15.054786,Earth,1.86,3432.0,2014,1480
Kepler-999 b,Neptune-like,Kepler-999,1407,,6.08,Earth,5.99185702,Jupiter,0.209,1778.0,2016,1481
HATS-75 b,Gas Giant,HATS-75,56,,0.491,Jupiter,2.7886556,Jupiter,0.884,636.0,2021,1482
Kepler-169 f,Neptune-like,Kepler-169,1750,,7.18,Earth,87.090195,Jupiter,0.23,1326.0,2014,1483
ROXs 42 B b,Gas Giant,ROXs 42 B,2141,M0,9.0,Jupiter,,Jupiter,1.12,468.0,2013,1484
HD 142 A d,Gas Giant,HD 142,3552,F7V,0.25683,Jupiter,108.45299,Jupiter,0.964,85.0,2022,1485
Qatar-8 b,Gas Giant,Qatar-8,3682,G0 V,0.371,Jupiter,3.71495,Jupiter,1.285,918.0,2019,1486
Kepler-292 e,Neptune-like,Kepler-292,3261,,7.61,Earth,11.97901,Jupiter,0.238,3446.0,2014,1487
HD 177830 b,Gas Giant,HD 177830,3866,K0,1.69,Jupiter,410.10001,Jupiter,1.2,205.0,1999,1488
Kepler-1402 b,Terrestrial,Kepler-1402,2563,,0.363,Earth,2.03387914,Earth,0.76,4872.0,2016,1489
Kepler-956 b,Neptune-like,Kepler-956,2746,,9.27,Earth,5.24867263,Jupiter,0.268,1778.0,2016,1490
WASP-59 b,Gas Giant,WASP-59,1038,,0.863,Jupiter,7.919585,Jupiter,0.775,378.0,2012,1491
HD 220074 b,Gas Giant,HD 220074,3453,M2 III,16.64,Jupiter,672.09998,Jupiter,1.09,1059.0,2012,1492
K2-181 b,Neptune-like,K2-181,2310,,8.45,Earth,6.893813,Jupiter,0.253,1177.0,2018,1493
GJ 3512 c,Gas Giant,GJ 3512,292,M5.5 V,0.2,Jupiter,1599.6,Jupiter,0.832,31.0,2020,1494
HIP 41378 d,Neptune-like,HIP 41378,3859,F6,14.9,Earth,1114.0,Jupiter,0.353,347.0,2016,1495
HR 8799 c,Gas Giant,HR 8799,1651,A5 V,10.0,Jupiter,69000.0,Jupiter,1.2,135.0,2008,1496
Kepler-242 b,Neptune-like,Kepler-242,2884,,7.32,Earth,8.20395,Jupiter,0.233,1958.0,2014,1497
HD 113538 b,Gas Giant,HD 113538,3543,K9 V,0.36,Jupiter,663.2,Jupiter,1.18,53.0,2010,1498
Kepler-574 b,Neptune-like,Kepler-574,3733,,6.3,Earth,7.65880414,Jupiter,0.213,2228.0,2016,1499
K2-276 b,Neptune-like,K2-276,2406,,13.7,Earth,18.718269,Jupiter,0.336,1592.0,2018,1500
KIC 10001893 d,Unknown,KIC 10001893,3678,,,,0.81161,,,5457.0,2014,1501
Kepler-590 b,Neptune-like,Kepler-590,1070,,15.2,Earth,5.85296257,Jupiter,0.359,4638.0,2016,1502
HD 48265 b,Gas Giant,HD 48265,779,G5 IV/V,1.525,Jupiter,778.51,Jupiter,1.21,295.0,2008,1503
Kepler-1101 b,Neptune-like,Kepler-1101,2726,,6.66,Earth,81.3151059,Jupiter,0.22,2422.0,2016,1504
K2-274 b,Super Earth,K2-274,670,,4.98,Earth,14.1330314,Earth,2.08,745.0,2018,1505
Ross 128 b,Super Earth,Ross 128,3088,M4,1.4,Earth,9.8658,Earth,1.11,11.0,2017,1506
K2-233 b,Super Earth,K2-233,3621,K3,11.26,Earth,2.4675,Earth,1.343,220.0,2018,1507
Kepler-1208 b,Neptune-like,Kepler-1208,3857,,5.99,Earth,11.08507637,Jupiter,0.207,2692.0,2016,1508
Kepler-575 b,Neptune-like,Kepler-575,453,,6.3,Earth,9.37891944,Jupiter,0.213,2786.0,2016,1509
Kepler-563 b,Neptune-like,Kepler-563,3208,,9.75,Earth,22.18432708,Jupiter,0.276,1844.0,2016,1510
HD 45350 b,Gas Giant,HD 45350,3651,G5 V,1.79,Jupiter,963.6,Jupiter,1.2,153.0,2004,1511
K2-48 b,Neptune-like,K2-48,911,,5.65,Earth,20.5065,Jupiter,0.2,1023.0,2016,1512
HD 43691 b,Gas Giant,HD 43691,2852,G0,2.55,Jupiter,36.9987,Jupiter,1.18,279.0,2007,1513
HD 217958 b,Gas Giant,HD 217958,2672,,0.5916,Jupiter,2560.19774,Jupiter,1.26,202.0,2022,1514
Kepler-366 b,Super Earth,Kepler-366,2426,,2.73,Earth,3.281959,Earth,1.46,6055.0,2014,1515
Kepler-271 c,Terrestrial,Kepler-271,3130,,0.809,Earth,7.41086267,Earth,0.95,1320.0,2014,1516
Kepler-279 c,Gas Giant,Kepler-279,3133,,0.155,Jupiter,35.736,Jupiter,0.384,3384.0,2013,1517
L 98-59 b,Terrestrial,L 98-59,533,M3 V,0.4,Earth,2.2531136,Earth,0.85,35.0,2019,1518
Kepler-1433 b,Super Earth,Kepler-1433,720,,3.05,Earth,4.13592271,Earth,1.56,4332.0,2016,1519
EPIC 201615463 c,Super Earth,K2-166,3905,,1.98,Earth,3.80464,Earth,1.22,1556.0,2019,1520
Kepler-117 c,Gas Giant,Kepler-117,3755,F8 V,1.84,Jupiter,50.790391,Jupiter,1.101,4748.0,2014,1521
MOA-2011-BLG-028L b,Neptune-like,MOA-2011-BLG-028L,127,,30.0,Earth,,Jupiter,0.535,24074.0,2016,1522
Kepler-336 c,Neptune-like,Kepler-336,2768,,5.06,Earth,9.600001,Earth,2.1,2508.0,2014,1523
EPIC 212737443 c,Neptune-like,EPIC 212737443,66,K3,7.7,Earth,65.55,Jupiter,0.24,1097.0,2019,1524
Kepler-871 b,Neptune-like,Kepler-871,1704,,13.5,Earth,22.0459018,Jupiter,0.334,6446.0,2016,1525
Kepler-397 b,Neptune-like,Kepler-397,2639,,6.62,Earth,22.250949,Jupiter,0.219,3161.0,2014,1526
Kepler-726 b,Neptune-like,Kepler-726,3904,,10.7,Earth,21.80451088,Jupiter,0.291,2486.0,2016,1527
Kepler-52 d,Super Earth,Kepler-52,3283,M0 V,4.46,Earth,36.445171,Earth,1.95,1049.0,2014,1528
K2-120 b,Super Earth,K2-120,1428,,4.7,Earth,9.562742,Earth,2.01,944.0,2017,1529
Kepler-619 b,Neptune-like,Kepler-619,135,,10.1,Earth,5.4042722,Jupiter,0.282,2938.0,2016,1530
Kepler-1063 b,Super Earth,Kepler-1063,830,,2.83,Earth,14.07971466,Earth,1.49,1120.0,2016,1531
Kepler-27 c,Gas Giant,Kepler-27,461,,13.8,Jupiter,31.3309,Jupiter,0.437,3407.0,2011,1532
HAT-P-58 b,Gas Giant,HAT-P-58,1772,,0.372,Jupiter,4.0138379,Jupiter,1.332,1682.0,2021,1533
Kepler-545 b,Neptune-like,Kepler-545,63,,7.7,Earth,13.24934059,Jupiter,0.24,2668.0,2016,1534
TOI-1266 b,Super Earth,TOI-1266,2329,M3 V,13.5,Earth,10.894841,Jupiter,0.211,117.0,2020,1535
L 98-59 d,Super Earth,L 98-59,533,M3 V,1.94,Earth,7.4507245,Earth,1.521,35.0,2019,1536
HD 64114 b,Neptune-like,HD 64114,1509,G7 V,17.8,Earth,45.791,Jupiter,0.393,103.0,2019,1537
K2-268 f,Neptune-like,K2-268,2275,,5.6,Earth,26.27057,Earth,2.23,1069.0,2019,1538
Kepler-1445 b,Terrestrial,Kepler-1445,94,,0.84,Earth,10.60052251,Earth,0.96,1652.0,2016,1539
Kepler-1744 b,Neptune-like,Kepler-1744,3560,,13.6,Earth,37.10110092,Jupiter,0.336,3561.0,2021,1540
K2-268 d,Super Earth,K2-268,2275,,2.83,Earth,4.528598,Earth,1.49,1069.0,2019,1541
HD 135872 b,Gas Giant,HD 135872,3580,,5.91708,Jupiter,2422.32597,Jupiter,1.14,269.0,2022,1542
Kepler-1221 b,Super Earth,Kepler-1221,733,,4.19,Earth,12.00096042,Earth,1.88,2980.0,2016,1543
Kepler-655 b,Neptune-like,Kepler-655,3271,,7.8,Earth,46.4063358,Jupiter,0.242,2455.0,2016,1544
HD 110082 b,Neptune-like,HD 110082,645,F8 V,10.3,Earth,10.18271,Jupiter,0.285,343.0,2021,1545
Kepler-1611 b,Terrestrial,Kepler-1611,2213,,0.457,Earth,5.1762429,Earth,0.81,2963.0,2016,1546
Kepler-1489 b,Super Earth,Kepler-1489,2349,G,3.78,Earth,82.294751,Earth,1.77,4185.0,2016,1547
K2-116 b,Terrestrial,K2-116,3871,,0.257,Earth,4.655411,Earth,0.69,161.0,2017,1548
Kepler-759 b,Neptune-like,Kepler-759,3147,,5.77,Earth,41.805985,Jupiter,0.203,3502.0,2016,1549
HD 217107 c,Gas Giant,HD 217107,1134,G8 IV,2.6,Jupiter,4270.0,Jupiter,1.18,65.0,2005,1550
Kepler-1696 b,Neptune-like,Kepler-1696,1408,,8.29,Earth,65.9409,Jupiter,0.251,4914.0,2020,1551
HD 145934 b,Gas Giant,HD 145934,456,K0,2.3994,Jupiter,2751.53433,Jupiter,1.18,743.0,2015,1552
Kepler-1437 b,Super Earth,Kepler-1437,101,,2.45,Earth,10.9295461,Earth,1.37,6856.0,2016,1553
Kepler-208 b,Super Earth,Kepler-208,1320,,3.29,Earth,4.22864,Earth,1.63,2529.0,2014,1554
Kepler-37 e,Terrestrial,Kepler-37,3258,,0.0275,Earth,51.196,Earth,0.37,209.0,2014,1555
Kepler-829 b,Neptune-like,Kepler-829,1936,,5.1,Earth,6.88337562,Earth,2.11,3503.0,2016,1556
HD 37605 b,Gas Giant,HD 37605,1513,K0,2.69,Jupiter,55.01292,Jupiter,1.18,153.0,2004,1557
HD 109988 b,Gas Giant,HD 109988,3766,,21.16046,Jupiter,17132.15854,Jupiter,1.08,139.0,2022,1558
Kepler-1546 b,Neptune-like,Kepler-1546,3362,,9.96,Earth,19.5974971,Jupiter,0.279,3040.0,2016,1559
Kepler-60 c,Super Earth,Kepler-60,693,,3.85,Earth,8.9187,Earth,1.9,3344.0,2012,1560
Kepler-23 d,Super Earth,Kepler-23,2136,,17.6,Earth,15.27,Earth,2.2,2726.0,2014,1561
HD 222155 b,Gas Giant,HD 222155,442,G2 V,2.12,Jupiter,3999.0,Jupiter,1.19,165.0,2011,1562
HD 8326 b,Gas Giant,HD 8326,3535,K2 V,0.20955,Jupiter,158.991,Jupiter,0.855,100.0,2019,1563
Kepler-1774 b,Neptune-like,Kepler-1774,2623,,10.2,Earth,59.77080154,Jupiter,0.284,2664.0,2021,1564
GJ 3293 e,Super Earth,GJ 3293,3727,M2.5,3.28,Earth,13.2543,Earth,1.63,66.0,2017,1565
HAT-P-2 b,Gas Giant,HAT-P-2,1755,F8,8.7,Jupiter,5.6335158,Jupiter,0.951,417.0,2007,1566
Kepler-471 b,Gas Giant,Kepler-471,2997,,117.0,Jupiter,5.01423457,Jupiter,1.335,4076.0,2016,1567
Kepler-27 d,Neptune-like,Kepler-27,461,,7.78,Earth,6.54628992,Jupiter,0.241,3407.0,2021,1568
WASP-8 b,Gas Giant,WASP-8,2939,G8 V,2.54,Jupiter,8.15872,Jupiter,1.13,293.0,2010,1569
Kepler-662 b,Neptune-like,Kepler-662,2971,,5.39,Earth,21.67697486,Earth,2.18,2661.0,2016,1570
Kepler-1907 b,Terrestrial,Kepler-1907,3287,,0.589,Earth,5.65245009,Earth,0.87,953.0,2021,1571
HD 26161 b,Gas Giant,HD 26161,3889,,13.5,Jupiter,10942.29013,Jupiter,1.1,133.0,2021,1572
HD 38529 b,Gas Giant,HD 38529,307,G4 IV,0.64923,Jupiter,14.3099,Jupiter,1.25,138.0,2000,1573
CoRoT-29 b,Gas Giant,CoRoT-29,3437,K0 V,0.85,Jupiter,2.85057,Jupiter,0.9,2631.0,2015,1574
WASP-184 b,Gas Giant,WASP-184,1452,G0 V,0.57,Jupiter,5.1817,Jupiter,1.33,2163.0,2019,1575
HD 233604 b,Gas Giant,HD 233604,1548,K5,6.575,Jupiter,192.0,Jupiter,1.13,2763.0,2013,1576
Kepler-65 b,Super Earth,Kepler-65,2656,,2.4,Earth,2.15491,Earth,1.42,991.0,2012,1577
Kepler-207 c,Super Earth,Kepler-207,3747,,2.86,Earth,3.071571,Earth,1.5,2856.0,2014,1578
Kepler-1542 c,Terrestrial,Kepler-1542,1242,,0.208,Earth,2.89223021,Earth,0.65,1302.0,2016,1579
Kepler-1642 b,Neptune-like,Kepler-1642,562,,10.3,Earth,12.2057513,Jupiter,0.285,1350.0,2016,1580
Kepler-115 c,Neptune-like,Kepler-115,1942,,7.27,Earth,8.990889,Jupiter,0.232,2034.0,2014,1581
Kepler-298 b,Super Earth,Kepler-298,150,,4.5,Earth,10.475464,Earth,1.96,1690.0,2014,1582
K2-117 c,Super Earth,K2-117,1111,M1.0 V,4.9,Earth,5.444017,Earth,2.06,332.0,2017,1583
HD 8535 b,Gas Giant,HD 8535,3764,G0 V,0.68,Jupiter,1313.0,Jupiter,1.25,181.0,2010,1584
Kepler-9 b,Gas Giant,Kepler-9,2343,,0.13655,Jupiter,19.23891,Jupiter,0.74,2049.0,2010,1585
Kepler-428 b,Gas Giant,Kepler-428,233,K1 V,1.27,Jupiter,3.52563254,Jupiter,1.08,2239.0,2014,1586
KMT-2018-BLG-1025L b,Neptune-like,KMT-2018-BLG-1025L,3213,,6.059,Earth,,Jupiter,0.208,21872.0,2021,1587
Kepler-836 b,Neptune-like,Kepler-836,385,,7.9,Earth,11.36112327,Jupiter,0.244,3197.0,2016,1588
Kepler-1153 b,Super Earth,Kepler-1153,114,,3.64,Earth,1.75583533,Earth,1.73,3652.0,2016,1589
HD 3167 b,Super Earth,HD 3167,3301,K0 V,4.73,Earth,0.959641,Earth,1.627,154.0,2016,1590
Kepler-1297 b,Terrestrial,Kepler-1297,2076,,0.871,Earth,1.68189002,Earth,0.97,4696.0,2016,1591
Kepler-1819 b,Neptune-like,Kepler-1819,1217,,14.5,Earth,16.48690033,Jupiter,0.348,4447.0,2021,1592
K2-29 b,Gas Giant,K2-29,1878,G7 V,0.73,Jupiter,3.2588321,Jupiter,1.19,582.0,2016,1593
Kepler-244 d,Super Earth,Kepler-244,3046,,15.2,Earth,20.050401,Jupiter,0.206,3381.0,2014,1594
Kepler-200 b,Neptune-like,Kepler-200,2387,,5.18,Earth,8.594805,Earth,2.13,2172.0,2014,1595
KELT-4 A b,Gas Giant,KELT-4 A,221,,0.902,Jupiter,2.9895932,Jupiter,1.699,711.0,2016,1596
HD 73267 c,Gas Giant,HD 73267,3760,K0 V,5.40071,Jupiter,17071.78045,Jupiter,1.14,164.0,2022,1597
Kepler-493 b,Gas Giant,Kepler-493,342,,118.0,Jupiter,3.00387658,Jupiter,1.35,5695.0,2016,1598
GJ 2030 b,Super Earth,GJ 2030,1511,,4.59248,Earth,2.38129,Earth,1.98,121.0,2022,1599
HD 147379 b,Neptune-like,HD 147379,3707,M0.0 V,28.55,Earth,86.58,Jupiter,0.519,35.0,2017,1600
WASP-166 b,Neptune-like,WASP-166,3809,F9 V,32.10083,Earth,5.44354,Jupiter,0.63,372.0,2019,1601
Kepler-446 d,Super Earth,Kepler-446,3566,M4,2.39,Earth,5.148921,Earth,1.35,314.0,2015,1602
Kepler-1523 b,Super Earth,Kepler-1523,633,,3.12,Earth,0.93875077,Earth,1.58,2824.0,2016,1603
TOI-1288 b,Gas Giant,TOI-1288,1886,G V,0.13215,Jupiter,2.6998279,Jupiter,0.467,375.0,2022,1604
Kepler-1889 b,Neptune-like,Kepler-1889,2711,,8.98,Earth,37.30369949,Jupiter,0.263,4551.0,2021,1605
Kepler-1276 b,Super Earth,Kepler-1276,2542,,1.81,Earth,12.5720095,Earth,1.19,1757.0,2016,1606
Kepler-132 d,Super Earth,Kepler-132,2991,,3.02,Earth,18.010199,Earth,1.55,1140.0,2014,1607
Kepler-370 c,Super Earth,Kepler-370,3638,,4.31,Earth,19.02293,Earth,1.91,3810.0,2014,1608
HD 153557 c,Neptune-like,HD 153557,576,K0,17.30766,Earth,15.27018,Jupiter,0.387,59.0,2022,1609
K2-124 b,Neptune-like,K2-124,1034,,8.75,Earth,6.413651,Jupiter,0.259,458.0,2017,1610
Kepler-654 b,Super Earth,Kepler-654,3622,,4.94,Earth,13.72465129,Earth,2.07,3178.0,2016,1611
K2-129 b,Super Earth,K2-129,2061,,1.12,Earth,8.239493,Earth,1.04,91.0,2017,1612
TOI-1136 f,Neptune-like,TOI-1136,1358,,14.3,Earth,26.321,Jupiter,0.346,276.0,2022,1613
TOI-1468 b,Super Earth,TOI-1468,3604,M3.0 V,3.21,Earth,1.8805136,Earth,1.28,81.0,2022,1614
Kepler-343 b,Neptune-like,Kepler-343,1025,,6.39,Earth,8.96855,Jupiter,0.215,3025.0,2014,1615
Kepler-1666 b,Neptune-like,Kepler-1666,264,,8.66,Earth,25.8476,Jupiter,0.257,4500.0,2020,1616
KMT-2021-BLG-0912L b,Super Earth,KMT-2021-BLG-0912L,115,K,2.81,Earth,,Earth,1.49,18137.0,2022,1617
HATS-31 b,Gas Giant,HATS-31,2691,,0.88,Jupiter,3.37796,Jupiter,1.64,2525.0,2016,1618
Kepler-265 e,Neptune-like,Kepler-265,802,,7.22,Earth,67.831024,Jupiter,0.231,4176.0,2014,1619
HD 109286 b,Gas Giant,HD 109286,478,G4 V,2.99,Jupiter,520.1,Jupiter,1.17,181.0,2021,1620
HD 125271 b,Gas Giant,HD 125271,3005,,11.05674,Jupiter,14901.99295,Jupiter,1.11,128.0,2022,1621
HD 45184 b,Neptune-like,HD 45184,3041,G1.5 V,12.19,Earth,5.8854,Jupiter,0.314,72.0,2019,1622
HD 33283 b,Gas Giant,HD 33283,1489,G3/G5 V,0.329,Jupiter,18.1991,Jupiter,1.12,293.0,2006,1623
HATS-56 b,Gas Giant,HATS-56,2995,,0.602,Jupiter,4.324799,Jupiter,1.688,1841.0,2019,1624
HR 858 d,Neptune-like,HR 858,3001,F6 V,5.32,Earth,11.23,Earth,2.164,104.0,2019,1625
Kepler-549 c,Neptune-like,Kepler-549,849,,8.91,Earth,117.040498,Jupiter,0.261,2072.0,2016,1626
HIP 79431 b,Gas Giant,HIP 79431,364,M3 V,2.1,Jupiter,111.7,Jupiter,1.19,47.0,2009,1627
Teegarden's Star c,Super Earth,Teegarden's Star,3813,M7.0 V,1.11,Earth,11.416,Earth,1.04,12.0,2019,1628
Kepler-977 b,Neptune-like,Kepler-977,3495,,7.37,Earth,26.85328322,Jupiter,0.234,1855.0,2016,1629
HD 115404 A c,Gas Giant,HD 115404 A,58,K2V,10.38165,Jupiter,15319.22517,Jupiter,1.11,36.0,2022,1630
K2-72 d,Super Earth,K2-72,2844,,1.01,Earth,7.760178,Earth,1.01,217.0,2016,1631
WASP-106 b,Gas Giant,WASP-106,2269,F9,1.62,Jupiter,9.28971,Jupiter,1.02,1149.0,2014,1632
WASP-129 b,Gas Giant,WASP-129,435,G1,1.0,Jupiter,5.748145,Jupiter,0.93,983.0,2016,1633
HD 145675 c,Gas Giant,14 Her,1560,K0V,4.98051,Jupiter,15732.45889,Jupiter,1.15,58.0,2021,1634
KOI-1599.02,Super Earth,KOI-1599,3035,,9.0,Earth,13.6088,Earth,1.9,3691.0,2019,1635
HD 24040 c,Gas Giant,HD 24040,3386,G0 V,0.201,Jupiter,515.4,Jupiter,0.834,152.0,2021,1636
HD 25912 c,Gas Giant,HD 25912,2659,,16.52835,Jupiter,26308.65619,Jupiter,1.09,160.0,2022,1637
Kepler-1832 b,Super Earth,Kepler-1832,1137,,2.02,Earth,3.13878989,Earth,1.227,1586.0,2021,1638
Kepler-279 d,Neptune-like,Kepler-279,3133,,37.5,Earth,54.414,Jupiter,0.277,3384.0,2013,1639
Kepler-390 b,Terrestrial,Kepler-390,1653,,0.477,Earth,6.738088,Earth,0.82,1420.0,2014,1640
NGTS-6 b,Gas Giant,NGTS-6,1935,,1.339,Jupiter,0.882059,Jupiter,1.326,1006.0,2019,1641
Kepler-103 c,Neptune-like,Kepler-103,18,,36.1,Earth,179.60978,Jupiter,0.459,1614.0,2014,1642
Kepler-196 d,Neptune-like,Kepler-196,3867,,7.56,Earth,122.0800018,Jupiter,0.237,1472.0,2021,1643
GJ 676 A e,Neptune-like,GJ 676 A,387,M0 V,6.69167,Earth,35.47358,Jupiter,0.221,52.0,2012,1644
Kepler-28 b,Neptune-like,Kepler-28,651,M0 V,1.51,Jupiter,5.91,Jupiter,0.321,1430.0,2011,1645
Kepler-1632 b,Neptune-like,Kepler-1632,381,,6.66,Earth,448.303558,Jupiter,0.22,2338.0,2016,1646
Kepler-800 b,Neptune-like,Kepler-800,1687,,8.5,Earth,14.13176026,Jupiter,0.254,3325.0,2016,1647
HD 197037 b,Gas Giant,HD 197037,3461,F7 V,0.79,Jupiter,1035.7,Jupiter,1.24,108.0,2012,1648
HD 22496 b,Neptune-like,HD 22496,409,K5/M0V,5.57,Earth,5.09071,Earth,2.22,44.0,2021,1649
Kepler-154 b,Neptune-like,Kepler-154,2798,,5.73,Earth,33.040532,Jupiter,0.202,2985.0,2014,1650
WASP-139 b,Neptune-like,WASP-139,1205,K0,37.18611,Earth,5.924262,Jupiter,0.8,693.0,2016,1651
HR 8799 d,Gas Giant,HR 8799,1651,A5 V,10.0,Jupiter,37000.0,Jupiter,1.2,135.0,2008,1652
Kepler-1314 b,Neptune-like,Kepler-1314,1632,,22.9,Earth,5.42474928,Jupiter,0.456,463.0,2016,1653
Kepler-1709 b,Neptune-like,Kepler-1709,3012,,9.93,Earth,65.70459747,Jupiter,0.279,894.0,2021,1654
K2-282 b,Neptune-like,K2-282,454,,6.8,Earth,4.169783,Jupiter,0.223,1619.0,2018,1655
Kepler-399 d,Super Earth,Kepler-399,2876,,4.23,Earth,58.034616,Earth,1.89,2416.0,2014,1656
HD 13808 b,Neptune-like,HD 13808,3353,K2 V,11.2,Earth,14.1815,Jupiter,0.299,92.0,2021,1657
HAT-P-70 b,Gas Giant,HAT-P-70,1151,,6.78,Jupiter,2.74432452,Jupiter,1.87,1079.0,2019,1658
2M0437 b,Gas Giant,2MASS J04372171+2651014,3004,M V,4.0,Jupiter,,Jupiter,1.16,419.0,2021,1659
Kepler-280 c,Super Earth,Kepler-280,3067,,4.7,Earth,4.807091,Earth,2.01,2546.0,2014,1660
KMT-2016-BLG-1820L b,Gas Giant,KMT-2016-BLG-1820L,1960,,4.57,Jupiter,,Jupiter,1.15,20420.0,2018,1661
Kepler-172 d,Neptune-like,Kepler-172,2446,,5.69,Earth,14.627119,Jupiter,0.201,2703.0,2014,1662
Kepler-118 c,Gas Giant,Kepler-118,852,,0.144,Jupiter,20.17202,Jupiter,0.685,1873.0,2014,1663
Kepler-1012 b,Super Earth,Kepler-1012,2478,,2.21,Earth,5.50860439,Earth,1.29,1341.0,2016,1664
Kepler-1562 b,Neptune-like,Kepler-1562,2400,,12.3,Earth,64.2737752,Jupiter,0.317,6722.0,2016,1665
HD 219134 c,Super Earth,HD 219134,1614,K3 V,4.36,Earth,6.76458,Earth,1.511,21.0,2015,1666
CoRoT-30 b,Gas Giant,CoRoT-30,3830,G3 V,2.9,Jupiter,9.06005,Jupiter,1.009,3367.0,2020,1667
Kepler-1500 b,Super Earth,Kepler-1500,3333,,1.87,Earth,15.0330105,Earth,1.2,3973.0,2016,1668
Kepler-1442 b,Neptune-like,Kepler-1442,39,,14.7,Earth,81.4162941,Jupiter,0.351,1986.0,2016,1669
Kepler-637 b,Neptune-like,Kepler-637,227,,20.2,Earth,23.20584623,Jupiter,0.424,2564.0,2016,1670
HAT-P-11 c,Gas Giant,HAT-P-11,1547,,2.3,Jupiter,3299.0,Jupiter,1.19,123.0,2018,1671
Kepler-837 b,Neptune-like,Kepler-837,2584,,7.08,Earth,16.56059504,Jupiter,0.228,2942.0,2016,1672
Kepler-635 b,Neptune-like,Kepler-635,216,,7.46,Earth,23.44971004,Jupiter,0.236,3722.0,2016,1673
Kepler-1931 b,Neptune-like,Kepler-1931,2375,,7.53,Earth,38.5760994,Jupiter,0.237,2023.0,2021,1674
K2-32 e,Super Earth,K2-32,3227,G9 V,2.1,Earth,4.34934,Earth,1.212,514.0,2019,1675
TOI-2196 b,Neptune-like,TOI-2196,3380,G V,26.0,Earth,1.1947268,Jupiter,0.313,848.0,2022,1676
Kepler-374 c,Super Earth,Kepler-374,2296,,1.37,Earth,3.282807,Earth,1.1,4128.0,2014,1677
Kepler-48 e,Gas Giant,Kepler-48,3379,,2.067,Jupiter,982.0,Jupiter,1.19,1001.0,2014,1678
Kepler-939 b,Super Earth,Kepler-939,480,,3.71,Earth,14.878296,Earth,1.75,6829.0,2016,1679
WASP-113 b,Gas Giant,WASP-113,2132,G1,0.475,Jupiter,4.54216875,Jupiter,1.409,1419.0,2016,1680
HAT-P-59 b,Gas Giant,HAT-P-59,1061,,1.54,Jupiter,4.1419771,Jupiter,1.123,866.0,2021,1681
K2-331 b,Super Earth,K2-331,344,,3.86,Earth,9.398977,Earth,1.79,690.0,2021,1682
